ID,startBin#,endBin#,width(bins),totalSpikeCount,peakBin,peakHeight(spikes),Interval(bins)
1,967098,967144,47,79174,967124,3453,967124
2,970049,970080,32,76287,970067,4343,2943
3,971032,971051,20,75863,971043,7819,976
4,976119,976151,33,76084,976140,4566,5097
5,978709,978739,31,76088,978729,4631,2589
6,984945,984967,23,77307,984955,6381,6226
7,985453,985476,24,76831,985462,6277,507
8,987012,987039,28,77497,987024,4646,1562
9,998766,998789,24,78773,998776,5969,11752
10,999466,999499,34,78986,999488,5006,712
11,1001088,1001112,25,80244,1001102,5354,1614
12,1003549,1003572,24,80264,1003557,6317,2455
13,1004964,1004986,23,80230,1004972,6218,1415
14,1005507,1005536,30,80049,1005525,4759,553
15,1010664,1010694,31,81715,1010683,5139,5158
16,1011352,1011374,23,81525,1011362,6579,679
17,1011966,1011994,29,81582,1011983,4970,621
18,1012252,1012277,26,77582,1012266,4743,283
19,1013728,1013751,24,81615,1013738,5820,1472
20,1014217,1014236,20,80891,1014228,7370,490
21,1014675,1014698,24,80630,1014685,5707,457
22,1015911,1015934,24,81601,1015919,5684,1234
23,1018606,1018628,23,81724,1018616,6253,2697
24,1019490,1019520,31,81759,1019508,4928,892
25,1021826,1021847,22,82373,1021836,6481,2328
26,1023299,1023330,32,82558,1023319,5238,1483
27,1023972,1024003,32,82600,1023993,5440,674
28,1024656,1024676,21,82211,1024666,7306,673
29,1028261,1028286,26,82448,1028272,5426,3606
30,1029051,1029069,19,82429,1029062,9373,790
31,1032373,1032395,23,83702,1032382,6142,3320
32,1038195,1038217,23,83835,1038205,6689,5823
33,1038803,1038828,26,83820,1038815,4966,610
34,1039268,1039297,30,83019,1039286,5223,471
35,1040291,1040318,28,85266,1040308,5817,1022
36,1042392,1042414,23,85215,1042399,6210,2091
37,1042756,1042782,27,83181,1042766,4912,367
38,1043056,1043082,27,81688,1043069,4730,303
39,1043890,1043911,22,85299,1043898,7481,829
40,1044658,1044678,21,85063,1044667,7688,769
41,1045281,1045312,32,85156,1045302,5696,635
42,1047296,1047322,27,85237,1047312,5684,2010
43,1048352,1048379,28,85446,1048368,5435,1056
44,1049209,1049236,28,85252,1049226,5783,858
45,1052517,1052539,23,85708,1052526,6427,3300
46,1053179,1053199,21,85668,1053188,8366,662
47,1053976,1053998,23,85927,1053987,6769,799
48,1054902,1054926,25,85850,1054911,5354,924
49,1055642,1055663,22,85797,1055652,6834,741
50,1057263,1057288,26,86046,1057277,5293,1625
51,1058594,1058616,23,85801,1058603,6424,1326
52,1060324,1060345,22,87028,1060334,7617,1731
53,1061664,1061688,25,87100,1061679,6034,1345
54,1062371,1062392,22,86942,1062381,7689,702
55,1063382,1063403,22,86955,1063389,6476,1008
56,1063818,1063847,30,86347,1063836,5642,447
57,1064397,1064419,23,86626,1064405,6476,569
58,1065360,1065387,28,86877,1065376,5580,971
59,1066794,1066822,29,87203,1066812,5701,1436
60,1068209,1068235,27,87246,1068224,5566,1412
61,1068773,1068793,21,86542,1068782,7990,558
62,1071247,1071271,25,87711,1071262,6055,2480
63,1072285,1072306,22,87706,1072295,7092,1033
64,1072670,1072699,30,86175,1072689,5600,394
65,1074674,1074692,19,87351,1074683,8276,1994
66,1076103,1076121,19,87556,1076113,8720,1430
67,1076833,1076854,22,87450,1076843,7507,730
68,1077717,1077737,21,87615,1077725,8116,882
69,1079152,1079180,29,87812,1079170,5757,1445
70,1080469,1080496,28,88837,1080485,5802,1315
71,1081396,1081425,30,88872,1081415,5960,930
72,1082565,1082586,22,88637,1082572,6598,1157
73,1084419,1084437,19,88613,1084429,8492,1857
74,1085514,1085540,27,88982,1085529,5863,1100
75,1086088,1086117,30,88641,1086106,5908,577
76,1087689,1087707,19,88596,1087697,8743,1591
77,1088763,1088790,28,88833,1088778,5766,1081
78,1089263,1089289,27,88127,1089278,5751,500
79,1089863,1089890,28,88366,1089881,6174,603
80,1091519,1091538,20,89221,1091528,9002,1647
81,1092708,1092737,30,89368,1092727,6216,1199
82,1093146,1093167,22,87861,1093154,6621,427
83,1094677,1094701,25,89342,1094691,6252,1537
84,1095723,1095743,21,89127,1095730,6857,1039
85,1096420,1096446,27,89185,1096437,6290,707
86,1097091,1097118,28,89247,1097107,5805,670
87,1098022,1098049,28,89359,1098038,5767,931
88,1098768,1098792,25,89281,1098783,6216,745
89,1101582,1101598,17,89949,1101591,10961,2808
90,1102338,1102364,27,90087,1102353,5988,762
91,1102617,1102636,20,85083,1102628,8186,275
92,1103313,1103334,22,89988,1103320,7025,692
93,1103732,1103752,21,88781,1103739,8012,419
94,1106812,1106830,19,90039,1106822,8809,3083
95,1108150,1108173,24,90054,1108164,6408,1342
96,1109377,1109398,22,90139,1109384,6980,1220
97,1109970,1109994,25,89962,1109980,6054,596
98,1110496,1110521,26,90527,1110510,5905,530
99,1111737,1111763,27,90785,1111752,6061,1242
100,1113440,1113466,27,90852,1113455,6023,1703
101,1114318,1114341,24,90769,1114332,6490,877
102,1116690,1116716,27,90801,1116705,6044,2373
103,1117859,1117877,19,90668,1117869,11590,1164
104,1119062,1119084,23,90820,1119075,6467,1206
105,1121584,1121607,24,91760,1121599,6667,2524
106,1122303,1122326,24,91737,1122317,6625,718
107,1123711,1123730,20,91693,1123719,9124,1402
108,1124625,1124651,27,91817,1124640,6095,921
109,1126220,1126242,23,91750,1126234,6660,1594
110,1127864,1127890,27,91836,1127879,6128,1645
111,1129244,1129262,19,91656,1129254,9345,1375
112,1130012,1130037,26,92740,1130026,6228,772
113,1130655,1130680,26,92692,1130670,6240,644
114,1131926,1131949,24,92671,1131941,6912,1271
115,1132303,1132329,27,91393,1132318,6166,377
116,1133093,1133119,27,92821,1133108,6329,790
117,1133660,1133679,20,92381,1133667,9177,559
118,1134890,1134912,23,92761,1134903,6757,1236
119,1135406,1135433,28,92319,1135424,6596,521
120,1137044,1137062,19,92529,1137053,9148,1629
121,1137491,1137520,30,92359,1137511,6741,458
122,1138145,1138170,26,92684,1138160,6310,649
123,1138821,1138841,21,92598,1138830,8182,670
124,1140550,1140576,27,92330,1140565,6285,1735
125,1141231,1141256,26,92160,1141245,6106,680
126,1144500,1144525,26,92251,1144515,6124,3270
127,1145707,1145733,27,92306,1145722,6205,1207
128,1146391,1146417,27,92203,1146406,6237,684
129,1148398,1148424,27,92271,1148413,6254,2007
130,1149423,1149452,30,92447,1149443,6711,1030
131,1150054,1150080,27,93258,1150069,6357,626
132,1150605,1150630,26,93052,1150619,6272,550
133,1151302,1151327,26,93242,1151316,6363,697
134,1151775,1151800,26,92673,1151790,6218,474
135,1152220,1152240,21,92275,1152228,7383,438
136,1154366,1154386,21,93112,1154374,7738,2146
137,1154815,1154841,27,92609,1154830,6236,456
138,1156154,1156182,29,93336,1156173,6763,1343
139,1156506,1156532,27,91433,1156521,6090,348
140,1157135,1157163,29,93185,1157154,6707,633
141,1157392,1157419,28,88440,1157408,5835,254
142,1157987,1158012,26,93128,1158001,6362,593
143,1158568,1158593,26,93091,1158582,6296,581
144,1160628,1160653,26,92490,1160642,6191,2060
145,1161820,1161845,26,92505,1161834,6209,1192
146,1162336,1162362,27,92101,1162351,6124,517
147,1163709,1163735,27,92457,1163724,6288,1373
148,1164452,1164477,26,92395,1164467,6182,743
149,1165191,1165216,26,92447,1165206,6164,739
150,1165506,1165533,28,90036,1165522,5871,316
151,1166042,1166068,27,92203,1166057,6251,535
152,1167739,1167758,20,92334,1167746,8824,1689
153,1168573,1168599,27,92506,1168588,6256,842
154,1170089,1170115,27,92732,1170104,6240,1516
155,1171332,1171357,26,92711,1171346,6240,1242
156,1171806,1171828,23,91906,1171819,6576,473
157,1172547,1172572,26,92691,1172561,6150,742
158,1173836,1173862,27,92688,1173851,6235,1290
159,1174540,1174565,26,92585,1174555,6145,704
160,1176794,1176821,28,92688,1176811,6419,2256
161,1177571,1177596,26,92634,1177585,6204,774
162,1178030,1178056,27,92002,1178045,6122,460
163,1178488,1178514,27,92013,1178503,6157,458
164,1178929,1178949,21,91685,1178938,7368,435
165,1179304,1179330,27,91242,1179319,6075,381
166,1181913,1181939,27,92071,1181928,6165,2609
167,1183444,1183470,27,92137,1183459,6145,1531
168,1184508,1184530,23,92037,1184521,6663,1062
169,1186563,1186588,26,92120,1186577,6154,2056
170,1187010,1187032,23,91344,1187023,6590,446
171,1189044,1189070,27,92139,1189059,6186,2036
172,1189935,1189961,27,92163,1189950,6170,891
173,1190848,1190870,23,93253,1190861,6809,911
174,1191657,1191682,26,93378,1191671,6222,810
175,1193607,1193632,26,93351,1193622,6247,1951
176,1194599,1194624,26,93365,1194614,6358,992
177,1197052,1197077,26,93337,1197066,6268,2452
178,1199257,1199282,26,93334,1199272,6335,2206
179,1199892,1199918,27,93290,1199907,6362,635
180,1200553,1200578,26,94699,1200568,6382,661
181,1201189,1201214,26,94685,1201203,6400,635
182,1201955,1201980,26,94799,1201969,6449,766
183,1204290,1204315,26,94865,1204304,6545,2335
184,1206286,1206311,26,94917,1206300,6520,1996
185,1207409,1207434,26,94886,1207423,6510,1123
186,1208949,1208974,26,94868,1208964,6489,1541
187,1210526,1210550,25,96210,1210540,6690,1576
188,1211713,1211741,29,95901,1211732,7191,1192
189,1212397,1212422,26,96094,1212411,6505,679
190,1213347,1213372,26,96186,1213362,6685,951
191,1214876,1214901,26,96204,1214891,6605,1529
192,1215563,1215587,25,95959,1215577,6672,686
193,1217310,1217334,25,96188,1217324,6693,1747
194,1217845,1217870,26,95708,1217860,6653,536
195,1218977,1219001,25,96176,1218991,6656,1131
196,1219445,1219470,26,95310,1219459,6580,468
197,1220007,1220031,25,95912,1220021,6639,562
198,1221201,1221226,26,96391,1221215,6546,1194
199,1221674,1221699,26,95420,1221688,6607,473
200,1222522,1222547,26,96355,1222536,6696,848
201,1225327,1225351,25,96333,1225341,6738,2805
202,1226066,1226090,25,96239,1226080,6672,739
203,1226707,1226732,26,96173,1226721,6655,641
204,1227661,1227686,26,96358,1227675,6670,954
205,1229525,1229553,29,96059,1229545,7172,1870
206,1230995,1231019,25,96876,1231009,6747,1464
207,1231453,1231478,26,95994,1231468,6577,459
208,1232573,1232598,26,96950,1232587,6723,1119
209,1233566,1233594,29,96539,1233585,7293,998
